"blocks","inits","wtRange","hids","lrate","beta","outRule","constrainChannel","numChannel","train_length","spawn","numCats","matchHuman","parameterization"
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,3,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,2,1,3
2,100,1,3,0.15,0,"linear",FALSE,2,1,0.05,1,0,3
